Data,Leitos clínicos ocupados,Leitos UTI ocupados,Casos positivos,Curados,Ativos,Suspeitos,Óbitos,Testes realizados,Casos negativos,Testes diários
2020/03/30,,,1,0.0,,29,0,3,2,3
2020/03/31,8.0,2.0,1,,,30,0,4,3,1
2020/04/01,8.0,2.0,1,,,32,0,5,4,1
2020/04/02,8.0,3.0,1,,,34,0,8,7,3
2020/04/03,7.0,3.0,1,,,37,0,10,9,2
2020/04/04,10.0,3.0,1,,,38,0,10,9,0
2020/04/05,11.0,1.0,1,,,39,0,10,9,0
2020/04/06,9.0,2.0,2,,,41,0,18,16,8
2020/04/07,6.0,1.0,2,,,41,1,19,17,1
2020/04/08,4.0,2.0,4,,,36,1,26,22,7
2020/04/09,5.0,3.0,6,,,37,1,31,25,5
2020/04/10,7.0,3.0,9,,,39,1,34,25,3
2020/04/11,8.0,4.0,10,,,42,1,36,26,2
2020/04/12,8.0,4.0,10,,,47,1,36,26,0
2020/04/13,10.0,3.0,10,,,46,1,40,30,4
2020/04/14,10.0,1.0,10,,,49,1,44,34,4
2020/04/15,8.0,2.0,12,,,44,1,53,41,9
2020/04/16,8.0,2.0,13,8.0,4.0,42,1,62,49,9
2020/04/17,9.0,2.0,14,8.0,5.0,34,1,71,57,9
2020/04/18,9.0,3.0,14,10.0,3.0,36,1,71,57,0
2020/04/19,7.0,5.0,14,10.0,3.0,38,1,71,57,0
2020/04/20,8.0,4.0,14,10.0,3.0,33,1,79,65,8
2020/04/21,11.0,2.0,18,13.0,4.0,32,1,85,67,6
2020/04/22,9.0,2.0,20,16.0,3.0,20,1,99,79,14
2020/04/23,11.0,2.0,24,18.0,5.0,14,1,113,89,14
2020/04/24,11.0,3.0,26,18.0,7.0,17,1,117,91,4
2020/04/25,14.0,3.0,27,18.0,8.0,16,1,122,95,5
2020/04/26,14.0,3.0,27,18.0,8.0,16,1,122,95,0
2020/04/27,11.0,3.0,27,22.0,4.0,15,1,132,105,10
2020/04/28,11.0,3.0,28,24.0,3.0,16,1,134,106,2
2020/04/29,15.0,3.0,30,24.0,5.0,19,1,137,107,3
2020/04/30,16.0,2.0,32,27.0,4.0,22,1,139,107,2
2020/05/01,13.0,2.0,32,28.0,3.0,21,1,141,109,2
2020/05/02,11.0,3.0,32,28.0,3.0,21,1,143,111,2
2020/05/03,5.0,4.0,32,29.0,2.0,15,1,149,117,6
2020/05/04,9.0,3.0,34,31.0,2.0,22,1,155,121,6
2020/05/05,15.0,3.0,35,32.0,2.0,28,1,156,121,1
2020/05/06,15.0,2.0,35,32.0,2.0,24,1,161,126,5
2020/05/07,15.0,2.0,35,32.0,2.0,28,1,161,126,0
2020/05/08,15.0,3.0,37,33.0,3.0,28,1,177,140,16
2020/05/09,12.0,3.0,37,33.0,3.0,18,1,181,144,4
2020/05/10,13.0,3.0,38,34.0,3.0,20,1,183,145,2
2020/05/11,13.0,3.0,42,35.0,6.0,20,1,190,148,7
2020/05/12,12.0,2.0,43,35.0,6.0,17,2,199,156,9
2020/05/13,14.0,4.0,45,35.0,8.0,21,2,204,159,5
2020/05/14,14.0,3.0,46,35.0,9.0,18,2,210,164,6
2020/05/15,10.0,3.0,51,36.0,13.0,17,2,218,167,8
2020/05/16,14.0,3.0,52,37.0,13.0,20,2,221,169,3
2020/05/17,14.0,4.0,53,37.0,14.0,21,2,222,169,1
2020/05/18,11.0,3.0,57,39.0,15.0,16,3,236,179,14
2020/05/19,10.0,4.0,57,39.0,15.0,26,3,241,184,5
2020/05/20,13.0,3.0,60,42.0,14.0,31,4,254,194,13
2020/05/21,14.0,4.0,66,42.0,20.0,22,4,269,203,15
2020/05/22,13.0,5.0,75,48.0,25.0,23,4,289,214,20
2020/05/23,17.0,4.0,80,48.0,28.0,20,4,297,217,8
2020/05/24,14.0,3.0,81,53.0,24.0,18,4,299,218,2
2020/05/25,16.0,2.0,90,54.0,32.0,12,4,311,221,12
2020/05/26,18.0,2.0,99,65.0,30.0,15,4,327,228,16
2020/05/27,23.0,1.0,112,73.0,35.0,25,4,353,241,26
2020/05/28,19.0,1.0,116,79.0,33.0,25,4,363,247,10
2020/05/29,20.0,4.0,137,93.0,40.0,30,4,421,284,58
2020/05/30,21.0,5.0,137,101.0,32.0,36,4,422,285,1
2020/05/31,18.0,5.0,138,110.0,24.0,35,4,425,287,3
2020/06/01,17.0,5.0,146,115.0,27.0,27,4,442,296,17
2020/06/02,20.0,6.0,151,120.0,27.0,40,4,460,309,18
2020/06/03,13.0,8.0,158,128.0,26.0,34,4,479,321,19
2020/06/04,15.0,10.0,169,134.0,31.0,34,4,500,331,21
2020/06/05,20.0,8.0,177,144.0,28.0,42,4,524,347,24
2020/06/06,19.0,9.0,184,146.0,33.0,46,4,531,347,7
2020/06/07,19.0,8.0,192,149.0,37.0,43,5,547,355,16
2020/06/08,13.0,10.0,205,162.0,37.0,50,5,579,374,32
2020/06/09,18.0,9.0,227,171.0,49.0,43,6,624,397,45
2020/06/10,19.0,9.0,237,184.0,46.0,50,6,647,410,23
2020/06/11,21.0,9.0,246,196.0,42.0,48,7,680,434,33
2020/06/12,16.0,8.0,253,209.0,36.0,49,7,702,449,22
2020/06/13,16.0,10.0,268,217.0,41.0,47,9,737,469,35
2020/06/14,16.0,11.0,271,225.0,35.0,46,10,745,474,8
2020/06/15,14.0,10.0,276,228.0,36.0,46,11,757,481,12
2020/06/16,14.0,9.0,294,233.0,48.0,44,12,800,506,43
2020/06/17,19.0,9.0,323,253.0,55.0,37,13,878,555,78
2020/06/18,18.0,11.0,342,264.0,62.0,31,14,928,586,50
2020/06/19,21.0,9.0,367,278.0,73.0,32,14,957,590,29
2020/06/20,20.0,10.0,399,290.0,92.0,38,15,1015,616,58
2020/06/21,19.0,10.0,408,297.0,94.0,38,15,1053,645,38
2020/06/22,20.0,8.0,425,314.0,93.0,34,16,1096,671,43
2020/06/23,19.0,9.0,454,334.0,100.0,37,16,1128,674,32
2020/06/24,16.0,11.0,495,355.0,120.0,36,16,1217,722,89
2020/06/25,21.0,9.0,538,393.0,124.0,33,18,1311,773,94
2020/06/26,21.0,12.0,598,414.0,163.0,42,18,1373,775,62
2020/06/27,26.0,13.0,631,461.0,149.0,47,18,1475,844,102
2020/06/28,21.0,15.0,645,492.0,132.0,50,18,1499,854,24
2020/06/29,18.0,17.0,666,536.0,109.0,47,18,1532,866,33
2020/06/30,17.0,14.0,701,567.0,112.0,53,19,1626,925,94
2020/07/01,22.0,14.0,733,583.0,126.0,46,21,1722,989,96
2020/07/02,24.0,13.0,768,626.0,117.0,38,22,1782,1014,60
2020/07/03,18.0,15.0,803,647.0,131.0,43,22,1897,1094,115
2020/07/04,22.0,20.0,855,691.0,139.0,52,22,1990,1135,93
2020/07/05,19.0,17.0,896,748.0,122.0,50,23,2050,1154,60
2020/07/06,21.0,18.0,919,767.0,124.0,51,24,2116,1197,66
2020/07/07,26.0,17.0,947,800.0,119.0,54,24,2166,1219,50
2020/07/08,31.0,19.0,969,831.0,111.0,68,24,2242,1273,76
2020/07/09,33.0,21.0,1016,866.0,120.0,73,26,2380,1364,138
2020/07/10,37.0,22.0,1040,902.0,108.0,72,26,2432,1392,52
2020/07/11,29.0,21.0,1045,911.0,103.0,72,27,2472,1427,40
2020/07/12,31.0,21.0,1052,917.0,101.0,75,29,2481,1429,9
2020/07/13,35.0,18.0,1061,939.0,87.0,71,30,2499,1438,18
2020/07/14,33.0,19.0,1090,963.0,92.0,66,30,2574,1484,75
2020/07/15,37.0,18.0,1128,1002.0,90.0,63,31,2650,1522,76
2020/07/16,33.0,21.0,1155,1025.0,91.0,71,33,2737,1582,87
2020/07/17,36.0,19.0,1182,1052.0,91.0,80,33,2802,1620,65
2020/07/18,36.0,18.0,1200,1064.0,94.0,82,36,2821,1621,19
2020/07/19,31.0,18.0,1216,1082.0,91.0,81,37,2837,1621,16
2020/07/20,30.0,19.0,1231,1102.0,85.0,80,38,2855,1624,18
2020/07/21,27.0,20.0,1281,1135.0,101.0,75,38,2957,1676,102
2020/07/22,26.0,20.0,1323,1176.0,100.0,70,39,3056,1733,99
2020/07/23,33.0,20.0,1365,1196.0,119.0,67,42,3178,1813,122
2020/07/24,31.0,22.0,1405,1234.0,120.0,59,43,3273,1868,95
2020/07/25,26.0,18.0,1445,1270.0,122.0,58,45,3399,1954,126
2020/07/26,28.0,17.0,1451,1293.0,104.0,58,46,3467,2016,68
2020/07/27,28.0,19.0,1478,1314.0,108.0,58,47,3553,2075,86
2020/07/28,30.0,20.0,1526,1361.0,108.0,70,47,3666,2140,113
2020/07/29,32.0,21.0,1573,1407.0,109.0,77,47,3775,2202,109
2020/07/30,26.0,19.0,1615,1451.0,106.0,61,48,3893,2278,118
2020/07/31,24.0,19.0,1655,1495.0,102.0,56,48,4061,2406,168
2020/08/01,23.0,20.0,1675,1514.0,103.0,55,48,4201,2526,140
2020/08/02,24.0,20.0,1680,1528.0,94.0,50,48,4230,2550,29
2020/08/03,22.0,20.0,1700,1560.0,82.0,55,48,4317,2617,87
2020/08/04,24.0,17.0,1734,1598.0,76.0,47,49,4462,2728,145
2020/08/05,23.0,14.0,1762,1632.0,68.0,47,51,4551,2789,89
2020/08/06,20.0,14.0,1787,1652.0,73.0,36,51,4694,2907,143
2020/08/07,25.0,14.0,1809,1672.0,74.0,42,52,4780,2971,86
2020/08/08,25.0,15.0,1821,1690.0,68.0,41,52,4849,3028,69
2020/08/09,22.0,15.0,1822,1694.0,65.0,39,52,4853,3031,4
2020/08/10,20.0,14.0,1839,1709.0,67.0,34,52,4934,3095,81
2020/08/11,19.0,12.0,1863,1739.0,61.0,30,52,5049,3186,115
2020/08/12,18.0,11.0,1880,1752.0,62.0,33,55,5188,3308,139
2020/08/13,19.0,12.0,1897,1768.0,63.0,29,55,5324,3427,136
2020/08/14,17.0,10.0,1921,1786.0,67.0,27,57,5452,3531,128
2020/08/15,19.0,12.0,1931,1810.0,53.0,28,57,5497,3566,45
2020/08/16,18.0,12.0,1933,1815.0,49.0,25,58,5517,3584,20
2020/08/17,17.0,6.0,1946,1836.0,40.0,30,58,5599,3653,82
2020/08/18,19.0,7.0,1968,1851.0,47.0,32,58,5738,3770,139
2020/08/19,22.0,10.0,1993,1872.0,51.0,43,58,5898,3905,160
2020/08/20,21.0,9.0,2017,1884.0,63.0,38,58,5976,3959,78
2020/08/21,26.0,8.0,2029,1899.0,60.0,39,58,5995,3966,19
2020/08/22,20.0,10.0,2043,1911.0,62.0,35,58,6122,4079,127
2020/08/23,18.0,10.0,2048,1919.0,58.0,33,59,6129,4081,7
2020/08/24,13.0,10.0,2063,1942.0,49.0,36,60,6220,4157,91
