Data,Dia desde contágio 1,Casos confirmados,Óbitos,Casos ativos,Taxa morte contaminados,Curados,Casos negativos,Testes realizados,Novos Casos,Suspeitos,Óbitos suspeitos,Suspeitos ativos,Novos testes realizados,Leitos clínicos ocupados,Leitos UTI ocupados,Novas mortes,Semana
2020/03/30,1,1,0,,0.0,0.0,2,3,1,29,2,27,3,,,0,1
2020/03/31,2,1,0,,0.0,,3,4,0,30,3,27,1,8.0,2.0,0,1
2020/04/01,3,1,0,,0.0,,4,5,0,32,2,30,1,8.0,2.0,0,1
2020/04/02,4,1,0,,0.0,,7,8,0,34,2,32,3,8.0,3.0,0,1
2020/04/03,5,1,0,,0.0,,9,10,0,37,2,35,2,7.0,3.0,0,1
2020/04/04,6,1,0,,0.0,,9,10,0,38,2,36,0,10.0,3.0,0,1
2020/04/05,7,1,0,,0.0,,9,10,0,39,2,37,0,11.0,1.0,0,2
2020/04/06,8,2,0,,0.0,,16,18,1,41,1,40,8,9.0,2.0,0,2
2020/04/07,9,2,1,,0.5,,17,19,0,41,1,40,1,6.0,1.0,1,2
2020/04/08,10,4,1,,0.25,,22,26,2,36,1,35,7,4.0,2.0,0,2
2020/04/09,11,6,1,,0.166666667,,25,31,2,37,1,36,5,5.0,3.0,0,2
2020/04/10,12,9,1,,0.111111111,,25,34,3,39,1,38,3,7.0,3.0,0,2
2020/04/11,13,10,1,,0.1,,26,36,1,42,1,41,2,8.0,4.0,0,2
2020/04/12,14,10,1,,0.1,,26,36,0,47,2,45,0,8.0,4.0,0,3
2020/04/13,15,10,1,,0.1,,30,40,0,46,2,44,4,10.0,3.0,0,3
2020/04/14,16,10,1,,0.1,,34,44,0,49,2,47,4,10.0,1.0,0,3
2020/04/15,17,12,1,,0.083333333,,41,53,2,44,2,42,9,8.0,2.0,0,3
2020/04/16,18,13,1,4.0,0.076923077,8.0,49,62,1,42,1,41,9,8.0,2.0,0,3
2020/04/17,19,14,1,5.0,0.071428571,8.0,57,71,1,34,1,33,9,9.0,2.0,0,3
2020/04/18,20,14,1,3.0,0.071428571,10.0,57,71,0,36,1,35,0,9.0,3.0,0,3
2020/04/19,21,14,1,3.0,0.071428571,10.0,57,71,0,38,1,37,0,7.0,5.0,0,4
