Data,temperatura_minima,temperatura_maxima,temperatura_media,precipitacao
01/01/2020,20,28,24,8.6
02/01/2020,20,28,24,11.3
03/01/2020,20,28,24,9.3
04/01/2020,20,28,24,10.4
05/01/2020,20,28,24,9.4
06/01/2020,20,28,24,10
07/01/2020,20,28,24,10.9
08/01/2020,20,28,24,6.9
09/01/2020,20,29,24.5,10.2
10/01/2020,20,29,24.5,4.8
11/01/2020,20,29,24.5,6.6
12/01/2020,20,29,24.5,5.9
13/01/2020,20,29,24.5,14.3
14/01/2020,20,29,24.5,9.8
15/01/2020,20,29,24.5,8.6
16/01/2020,20,29,24.5,7.1
17/01/2020,20,29,24.5,9
18/01/2020,20,29,24.5,7.2
19/01/2020,20,29,24.5,7.8
20/01/2020,20,29,24.5,8.2
21/01/2020,20,29,24.5,6.4
22/01/2020,20,29,24.5,4.6
23/01/2020,20,29,24.5,5
24/01/2020,20,29,24.5,7.3
25/01/2020,20,29,24.5,6.5
26/01/2020,20,29,24.5,12
27/01/2020,20,29,24.5,11.7
28/01/2020,20,29,24.5,11.9
29/01/2020,20,29,24.5,7.3
30/01/2020,20,29,24.5,9.7
31/01/2020,20,29,24.5,6.1
01/02/2020,20,29,24.5,4.6
02/02/2020,20,29,24.5,4.5
03/02/2020,20,29,24.5,4.9
04/02/2020,20,29,24.5,4.5
05/02/2020,20,29,24.5,3.4
06/02/2020,20,29,24.5,5.3
07/02/2020,20,29,24.5,5.9
08/02/2020,20,29,24.5,4.9
09/02/2020,20,29,24.5,6.1
10/02/2020,20,29,24.5,5.2
11/02/2020,20,29,24.5,10.5
12/02/2020,20,29,24.5,10.1
13/02/2020,20,29,24.5,5.7
14/02/2020,20,29,24.5,4.2
15/02/2020,20,29,24.5,9.8
16/02/2020,20,29,24.5,6.9
17/02/2020,20,29,24.5,7.2
18/02/2020,20,29,24.5,6.6
19/02/2020,20,29,24.5,5.5
20/02/2020,20,29,24.5,4.2
21/02/2020,20,29,24.5,4.3
22/02/2020,20,29,24.5,5.9
23/02/2020,20,29,24.5,9
24/02/2020,20,29,24.5,5.5
25/02/2020,20,29,24.5,9.7
26/02/2020,20,29,24.5,5.2
27/02/2020,20,29,24.5,6.2
28/02/2020,20,29,24.5,5.9
01/03/2020,20,29,24.5,8.1
02/03/2020,20,29,24.5,3.8
03/03/2020,20,29,24.5,3.8
04/03/2020,20,29,24.5,3.8
05/03/2020,20,29,24.5,4.1
06/03/2020,20,29,24.5,2.5
07/03/2020,20,29,24.5,5.2
08/03/2020,20,29,24.5,5.3
09/03/2020,20,29,24.5,3.6
10/03/2020,20,29,24.5,6.6
11/03/2020,20,29,24.5,9.1
12/03/2020,20,29,24.5,7.4
13/03/2020,20,29,24.5,3.5
14/03/2020,20,29,24.5,5
15/03/2020,20,29,24.5,8
16/03/2020,20,29,24.5,4.8
17/03/2020,20,29,24.5,8
18/03/2020,20,29,24.5,7.1
19/03/2020,20,29,24.5,7.4
20/03/2020,20,29,24.5,4.2
