,data,casos_positivos,notificacoes,casos_area_1,casos_area_2,casos_area_3,casos_area_4,casos_area_5,casos_area_101,novosCasos,casos negativos,aguardando resultado
0,08/02/2019,23.0,,,,,,,,0,,
1,11/02/2019,23.0,98.0,1.0,7.0,6.0,7.0,2.0,0.0,0,,
2,14/02/2019,60.0,200.0,2.0,8.0,34.0,11.0,5.0,0.0,37,,
3,28/02/2019,111.0,383.0,,,,,,,51,,
4,08/03/2019,147.0,488.0,,,,,,,36,,
5,15/03/2019,237.0,647.0,,,,,,,90,,
6,29/03/2019,385.0,1039.0,,,110.0,,93.0,,148,,
7,05/04/2019,472.0,1149.0,49.0,81.0,117.0,94.0,127.0,4.0,87,,
8,24/05/2019,1603.0,3505.0,,,,,,,1131,,
9,31/05/2019,1809.0,3968.0,261.0,269.0,184.0,317.0,753.0,24.0,206,,
10,13/07/2019,2989.0,7580.0,395.0,377.0,241.0,556.0,1333.0,68.0,1180,,
11,30/08/2019,2989.0,7551.0,392.0,377.0,240.0,555.0,1333.0,68.0,0,,
12,13/09/2019,2989.0,7580.0,395.0,377.0,241.0,556.0,1333.0,68.0,0,,
13,04/10/2019,2994.0,7632.0,395.0,377.0,242.0,557.0,1336.0,68.0,5,,
14,25/10/2019,3.0060000000000002,7737.0,398.0,379.0,243.0,560.0,1338.0,68.0,12,,
15,02/12/2019,3.016,7918.0,401.0,380.0,244.0,562.0,1338.0,68.0,10,,
16,13/12/2019,3021.0,,403.0,380.0,244.0,564.0,1339.0,68.0,5,,
0,20/02/2020,224.0,626.0,,,,,,,0,303.0,99.0
1,27/02/2020,265.0,733.0,,,,,,,41,357.0,111.0
2,05/03/2020,350.0,1077.0,,,,,,,85,613.0,114.0
3,12/03/2020,425.0,1272.0,,,,,,,75,702.0,145.0
4,19/03/2020,567.0,1593.0,,,,,,,142,879.0,147.0
5,27/03/2020,652.0,2001.0,,,,,,,85,1191.0,158.0
6,03/04/2020,738.0,2367.0,,,,,,,86,1485.0,144.0
7,08/04/2020,826.0,2623.0,,,,,,,88,1677.0,120.0
8,14/04/2020,901.0,2907.0,,,,,,,75,1901.0,105.0
9,24/04/2020,1014.0,3.258,,,,,,,113,2082.0,162.0
10,30/04/2020,1158.0,3614.0,,,,,,,144,2274.0,182.0
11,08/05/2020,1314.0,3892.0,,,,,,,156,2447.0,131.0
12,15/05/2020,1419.0,4113.0,,,,,,,105,2562.0,132.0
13,22/05/2020,1527.0,4346.0,,,,,,,108,2715.0,104.0
14,29/05/2020,1600.0,4505.0,,,,,,,73,2822.0,83.0
15,05/06/2020,1649.0,4704.0,,,,,,,49,2980.0,75.0
16,10/06/2020,1672.0,4781.0,,,,,,,23,3055.0,54.0
17,19/06/2020,1700.0,4896.0,,,,,,,28,3153.0,43.0
18,25/06/2020,1714.0,4980.0,,,,,,,14,3229.0,37.0
19,03/07/2020,1730.0,5040.0,,,,,,,16,3276.0,34.0
20,09/07/2020,1740.0,5142.0,,,,,,,10,3381.0,21.0
21,17/07/2020,1751.0,5237.0,,,,,,,11,3457.0,29.0
22,24/07/2020,1755.0,5329.0,,,,,,,4,3550.0,24.0
23,31/07/2020,1762.0,5405.0,,,,,,,7,3622.0,21.0
24,07/08/2020,1766.0,5475.0,,,,,,,4,3694.0,15.0
