Data;Município1;UF1;Escala de cor;Number of Records;Índice de isolamento;;
05/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;0,3;;
06/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;0,29;;
12/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;0,28;;
13/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;0,3;;
17/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;0,38;;
18/03/2020;ESTADO DE SÃO PAULO;SP;Até 40%;1;0,4;;
19/03/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,42;;
20/03/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,44;;
21/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,56;;
22/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,56;;
23/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,52;;
24/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,54;;
25/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,54;;
26/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,54;;
27/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,53;;
28/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,56;;
29/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,59;;
30/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,55;;
31/03/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,55;;
01/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,55;;
02/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,55;;
03/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,54;;
04/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,57;;
05/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,59;;
06/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,52;;
07/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,51;;
08/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,5;;
09/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
10/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,57;;
11/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,55;;
12/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,59;;
13/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,5;;
14/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,5;;
15/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,5;;
16/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,49;;
17/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,49;;
18/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,54;;
19/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,59;;
20/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,51;;
21/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,57;;
22/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
23/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
24/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
25/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,52;;
26/04/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,58;;
27/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
28/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
29/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
30/04/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
01/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,56;;
02/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,53;;
03/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,59;;
04/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
05/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
06/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
07/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
08/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
09/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,5;;
10/05/2020;ESTADO DE SÃO PAULO;SP;>50-60%;1;0,53;;
11/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
12/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
13/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
14/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
15/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
16/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,5;;
17/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,54;;
18/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,49;;
19/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
20/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,49;;
21/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,49;;
22/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
23/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,51;;
24/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,55;;
25/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,51;;
26/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
27/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
28/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
29/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
30/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,51;;
31/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,53;;
01/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
02/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
03/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
04/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
05/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
06/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,49;;
07/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,52;;
08/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
09/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
10/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
11/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
12/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
13/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
14/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,52;;
15/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
16/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
17/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
18/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
